id,text,option_a,option_b,option_c,option_d,correct,source,topic,type,section,page,reference,location
1,"In A17.2-2010, where should an inspector first look for door reopening device inspection guidance?",Part 1 - Elevator Inside of Car,Part 2 - Elevator Machine Room,Part 5 - Elevator Pit,Part 7 - Escalator External,A,ASME A17.2-2010,Inside car inspection,toc_navigation,1.1,4,A17.2-2010,Door Reopening Device
2,A car stop switch question belongs most directly in which A17.2-2010 inspection area?,Top of Car,Machine Room,Moving Walk Internal,Inside of Car,D,ASME A17.2-2010,Inside car inspection,toc_navigation,1.2,4,A17.2-2010,Stop Switches
3,Which section should you use first for operating control devices in the elevator car?,3.3,6.4,1.3,2.11,C,ASME A17.2-2010,Inside car inspection,toc_navigation,1.3,5,A17.2-2010,Operating Control Devices
4,A question about car sills and car floor condition points to which A17.2-2010 section?,5.1,1.4,2.4,4.1,B,ASME A17.2-2010,Inside car inspection,toc_navigation,1.4,5,A17.2-2010,Sills and Car Floor
5,Where does A17.2-2010 place car lighting and receptacles?,Part 1,Part 2,Part 3,Part 5,A,ASME A17.2-2010,Inside car inspection,toc_navigation,1.5,6,A17.2-2010,Car Lighting and Receptacles
6,Which topic is covered by A17.2-2010 section 1.6?,Governor overspeed switch,Pit access,Escalator geometry,Car emergency signal,D,ASME A17.2-2010,Inside car inspection,toc_navigation,1.6,7,A17.2-2010,Car Emergency Signal
7,"For car door or gate inspection in A17.2-2010, which section is the best starting point?",3.17,4.7,1.7,2.17,C,ASME A17.2-2010,Inside car inspection,toc_navigation,1.7,7,A17.2-2010,Car Door or Gate
8,Door closing force is organized under which A17.2-2010 part?,Escalator - Internal,Elevator - Inside of Car,Elevator - Machine Room,Elevator - Pit,B,ASME A17.2-2010,Inside car inspection,toc_navigation,1.8,8,A17.2-2010,Door Closing Force
9,Which section should be opened for power closing of elevator car doors or gates?,1.9,1.10,4.6,8.4,A,ASME A17.2-2010,Inside car inspection,toc_navigation,1.9,8,A17.2-2010,Power Closing of Doors or Gates
10,Power opening of elevator car doors or gates is found in which A17.2-2010 section?,1.9,4.6,10.7,1.10,D,ASME A17.2-2010,Inside car inspection,toc_navigation,1.10,8,A17.2-2010,Power Opening of Doors or Gates
11,Car vision panels and glass car doors are handled in which A17.2-2010 section?,4.3,7.15,1.11,3.13,C,ASME A17.2-2010,Inside car inspection,toc_navigation,1.11,9,A17.2-2010,Car Vision Panels and Glass Car Doors
12,A question about car enclosure should send you first to which A17.2-2010 section?,11.3,1.12,3.10,4.8,B,ASME A17.2-2010,Inside car inspection,toc_navigation,1.12,11,A17.2-2010,Car Enclosure
