id,text,option_a,option_b,option_c,option_d,correct,book,part,topic,type
1,Which standard is modified by the machine-room-less elevator chapter?,ASME A17.2-2014,ASME A17.1S-2005,ASME B20.1-2015,ANSI A10.4-2016,B,NYC Appendix K4,K401.1,MRL elevator standard,multiple_choice
2,What kind of space is intended for full bodily entry and contains the motor controller?,Machinery space,Machine room,Control space,Hoistway pit,C,NYC Appendix K4,1.3,control space definition,multiple_choice
3,Which item is not permitted inside an elevator control space?,Electrical equipment used directly with the elevator,Mechanical equipment used directly with the elevator,Motor controller,Electric driving machine,D,NYC Appendix K4,1.3,control space equipment,multiple_choice
4,What controller equipment is prohibited in a machinery space located in a hoistway?,Motion controller,Car operating panel,Hall lantern,Pit lighting outlet,A,NYC Appendix K4,1.3,machinery space restrictions,multiple_choice
5,Hoistways must have a means to prevent accumulation of smoke and hot gases when required by what?,Elevator maintenance company,New York City Building Code,Manufacturer data plate,Building tenant rules,B,NYC Appendix K4,2.1.4,smoke and hot gases,multiple_choice
6,"On hoistway sides not used for loading and unloading, which recesses are permitted?",Tenant storage recesses,Decorative wall recesses,Recesses needed for elevator equipment,Unprotected convenience recesses,C,NYC Appendix K4,2.1.6.2,hoistway recesses,multiple_choice
7,"When certain hoistway projections make an angle less than the required threshold, how far may they project before beveling or protection is required?",25 mm (1 in),38 mm (1.5 in),75 mm (3 in),50 mm (2 in),D,NYC Appendix K4,2.1.6.2,hoistway projections,multiple_choice
8,What bevel angle is required for certain building-construction projections into the hoistway?,Not less than 75 degrees with the horizontal,Not less than 45 degrees with the horizontal,Not less than 60 degrees with the horizontal,Exactly 90 degrees with the horizontal,A,NYC Appendix K4,2.1.6.2,hoistway projection bevels,multiple_choice
9,Which hoistway component is not required to have bevels under the modified rule?,Machine beams above the controller,Separator beams between adjacent elevators,Landing sill supports,Top-of-car guard rails,B,NYC Appendix K4,2.1.6.2,separator beams,multiple_choice
10,"Where enclosure wall setbacks exceed the allowed projection amount, what bevel angle is required at the top of the setback?",Not less than 75 degrees with the horizontal,Not less than 60 degrees with the horizontal,Not less than 85 degrees with the horizontal,Exactly 45 degrees with the horizontal,C,NYC Appendix K4,2.1.6.2,hoistway setbacks,multiple_choice
11,"If projections and setbacks are covered instead of beveled, what is the maximum permitted opening in the covering material?",50 mm (2 in),38 mm (1.5 in),13 mm (0.5 in),25 mm (1 in),D,NYC Appendix K4,2.1.6.2,projection covering material,multiple_choice
12,Elevators with sprinklers in the shaftway must be provided with what?,A drain or sump pump,A smoke detector at every landing,A governor access ladder,A red telephone in the machine room,A,NYC Appendix K4,2.2.2.5,shaftway sprinkler drainage,multiple_choice
