id,text,option_a,option_b,option_c,option_d,correct,book,part,topic,type
1,Which freight elevator condition is treated as part of a limited access space exception?,A destination-oriented elevator with hall call consoles,A freight elevator that is not part of an accessible route,Any elevator serving residential units,Any passenger elevator on an accessible route,B,2022 NYC Building Code Chapter 11,1103.2.7,Limited access spaces,multiple_choice
2,Elevator pits and elevator penthouses are examples of what kind of spaces?,Public-use accessible routes,Dwelling units required to be Type B,Equipment spaces frequented only by service personnel,Destination-oriented elevator lobbies,C,2022 NYC Building Code Chapter 11,1103.2.9,Equipment spaces,multiple_choice
3,"Where no elevator service is provided or required, Type B unit requirements are limited to which units?",Only units above the lowest story,All units on every story of the structure,Only multistory units with internal stairs,Only units on the qualifying accessible stories,D,2022 NYC Building Code Chapter 11,1107.7.1,Type B units,multiple_choice
4,At least one story containing residential dwelling or sleeping units must have what accessibility feature?,An accessible entrance and accessible route from the exterior,A LULA elevator serving all floors,A destination-oriented elevator system,A freight elevator connected to the lobby,A,2022 NYC Building Code Chapter 11,1107.7.1.1,Type B units,multiple_choice
5,"When other residential stories are served by a qualifying building entrance, what must be Type B units?",Only units on stories above the entrance,All dwelling and sleeping units served by that entrance on that story,Only the first unit closest to the entrance,Only units served by a private residence elevator,B,2022 NYC Building Code Chapter 11,1107.7.1.2,Type B units,multiple_choice
6,How is a multistory dwelling or sleeping unit without elevator service treated for Type B unit requirements?,Only its stairs must comply,Only its upper floor must comply,It is not required to be a Type B unit,It must always be a Type B unit,C,2022 NYC Building Code Chapter 11,1107.7.2,Multistory units,multiple_choice
7,"If a multistory unit has external elevator service to only one floor, what must that floor be?",Used only for service access,Excluded from Type B requirements,Limited to sleeping rooms only,The primary entry to the unit and compliant with Type B requirements,D,2022 NYC Building Code Chapter 11,1107.7.2,Multistory units,multiple_choice
8,"Where elevator service provides an accessible route only to the lowest residential story, which units must be Type B?",Only units on the lowest story served by the elevator,No units because elevator service is limited,Only units on stories above the elevator landing,All units in the building,A,2022 NYC Building Code Chapter 11,1107.7.3,Type B units,multiple_choice
9,"In buildings without elevator service where Type B+NYC units are required, which stories control the required units?",Only stories with mechanical equipment,"The qualifying cellar, basement, or first-floor story",Only stories served by destination dispatch,Every story above grade,B,2022 NYC Building Code Chapter 11,1107.7.4.1,Type B+NYC units,multiple_choice
10,Passenger elevators on an accessible route must comply with ICC A117.1 and what other chapter?,Chapter 3 of the code,Chapter 16 of the code,Chapter 30 of the code,Chapter 9 of the code,C,2022 NYC Building Code Chapter 11,1109.7,Elevators,multiple_choice
11,"For passenger elevators on an accessible route, which ICC A117.1 requirement is not applied?",Limited-use elevator provisions,Platform lift provisions,Private residence elevator provisions,Arrangement requirement for elevator car controls,D,2022 NYC Building Code Chapter 11,1109.7,Elevators,multiple_choice
12,Which elevator system triggers the special accessibility rules for hall call consoles and responding cars?,Escalators,Private residence elevators only,Destination-oriented elevators,Freight elevators not on an accessible route,C,2022 NYC Building Code Chapter 11,1109.7.2,Destination-oriented elevators,multiple_choice
13,"For destination-oriented elevators, which group of hall call console requirements must be checked?",Limited access space exceptions only,Elevator chapter installation rules only,LULA elevator permission rules only,"Number and location, required features, and arrangement",D,2022 NYC Building Code Chapter 11,1109.7.2,Destination-oriented elevators,multiple_choice
14,Where must hall call consoles be located in relation to the elevator landings they serve?,Accessible routes connecting to the elevator landings they serve,Only inside the elevator car,Only nonpublic service corridors,Any wall within the elevator machine room,A,2022 NYC Building Code Chapter 11,1109.7.2.1,Hall call consoles,multiple_choice
15,"When hall call consoles are built into security barriers, where must at least one console for each type of use be located?",On any floor above the lobby,On an accessible route connecting to the served elevator landings,At the elevator machine room only,Inside the security office,B,2022 NYC Building Code Chapter 11,1109.7.2.1,Hall call consoles,multiple_choice
16,"On transfer floors, sky lobbies, and floors containing building entrances, where is at least one wall-mounted hall call console required?",At the top of each stair,At the remote security desk only,Adjacent to each elevator hoistway entrance,Inside each elevator car,C,2022 NYC Building Code Chapter 11,1109.7.2.1.1,Hall call consoles,multiple_choice
17,"On floors other than transfer floors, sky lobbies, and entrance floors, how many hall call consoles are required?",One total console for the entire building,One for every ten elevators on the roof only,One inside each elevator car,"One for every five elevators, or fraction thereof, on each side of the elevator landing",D,2022 NYC Building Code Chapter 11,1109.7.2.1.2,Hall call consoles,multiple_choice
18,What projection or recess range applies to hall call consoles that are not flush with surrounding surfaces?,Minimum 3/4 inch and maximum 4 inches,Minimum 1/8 inch and maximum 1/2 inch,Minimum 5 inches and maximum 12 inches,Exactly 48 inches,A,2022 NYC Building Code Chapter 11,1109.7.2.2,Hall call console features,multiple_choice
19,What must activation of the accessibility function button start?,Only a visual display,The required audio output,The sprinkler system,The freight elevator mode,B,2022 NYC Building Code Chapter 11,1109.7.2.2.1.1,Accessibility function button,multiple_choice
20,What minimum height is required for the visible identification symbol on an accessibility function button?,2 inches,1/4 inch,5/8 inch,3/4 inch,C,2022 NYC Building Code Chapter 11,1109.7.2.2.1.2,Accessibility function button,multiple_choice
21,When must audio output begin for the accessible hall call console function?,Opening of the elevator machine room door,Operation of the fire alarm only,Arrival of any freight elevator,Activation of the accessibility function button,D,2022 NYC Building Code Chapter 11,1109.7.2.2.2,Audio output,multiple_choice
22,How quickly must audio output commence after the accessibility function button is activated?,Within one second,Within one minute,Within five seconds,Within ten seconds,A,2022 NYC Building Code Chapter 11,1109.7.2.2.2.2,Audio output,multiple_choice
23,What maximum audio volume applies when measured 36 inches horizontally from the source?,100 dB,80 dB,10 dBA,60 dB,B,2022 NYC Building Code Chapter 11,1109.7.2.2.2.2,Audio output,multiple_choice
24,"What contrast ratio is required for display characters, numbers, and symbols against their background?",10:1,2:1,4.5:1,1.5:1,C,2022 NYC Building Code Chapter 11,1109.7.2.2.3.1,Visible display screen,multiple_choice
25,How long must elevator assignment characters and numbers remain displayed?,Thirty seconds,One second,Until the next inspection,Five seconds,D,2022 NYC Building Code Chapter 11,1109.7.2.2.3.3,Visible display screen,multiple_choice
26,"When a responding elevator car answers an accessibility-function call, what must it provide during travel in addition to audio output?",An in-car announcement of all floors on which it stops,A printed receipt of the selected floor,A visual-only confirmation at the lobby,A shutdown of the hall call console,A,2022 NYC Building Code Chapter 11,1109.7.2.5,Responding car,multiple_choice
